DEBUG 2024-11-10 00:22:38,599 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\pyasn1\type\error.py first seen with mtime 1730084609.008215
DEBUG 2024-11-10 00:22:38,599 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\_base.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,599 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1730084616.7850783
DEBUG 2024-11-10 00:22:38,599 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1730084616.8295054
DEBUG 2024-11-10 00:22:38,599 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1730084616.736216
DEBUG 2024-11-10 00:22:38,600 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\attr\filters.py first seen with mtime 1730084610.180715
DEBUG 2024-11-10 00:22:38,600 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\autobahn\wamp\__init__.py first seen with mtime 1730084650.9117234
DEBUG 2024-11-10 00:22:38,600 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\twisted\logger\__init__.py first seen with mtime 1730084631.7458673
DEBUG 2024-11-10 00:22:38,600 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,601 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\corsheaders\apps.py first seen with mtime 1730869809.8836079
DEBUG 2024-11-10 00:22:38,601 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\autobahn\wamp\auth.py first seen with mtime 1730084650.9117234
DEBUG 2024-11-10 00:22:38,601 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\twisted\internet\_sslverify.py first seen with mtime 1730084631.6605225
DEBUG 2024-11-10 00:22:38,602 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\locale.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,602 autoreload File D:\FullStackProjects\TaskManagementSystem\backend\tasks\admin.py first seen with mtime 1731172345.9697165
DEBUG 2024-11-10 00:22:38,602 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1730084614.382535
DEBUG 2024-11-10 00:22:38,603 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\utils\decorators.py first seen with mtime 1730084616.9550476
DEBUG 2024-11-10 00:22:38,603 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\multiprocessing\__init__.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,604 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\importlib\metadata\_itertools.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,604 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\contextlib.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,604 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\cryptography\hazmat\primitives\_cipheralgorithm.py first seen with mtime 1730084649.1328824
DEBUG 2024-11-10 00:22:38,604 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1730084615.2177658
DEBUG 2024-11-10 00:22:38,604 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\tokenize.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,605 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\twisted\python\threadpool.py first seen with mtime 1730084631.8860753
DEBUG 2024-11-10 00:22:38,605 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\test\signals.py first seen with mtime 1730084616.9391308
DEBUG 2024-11-10 00:22:38,605 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\rest_framework\checks.py first seen with mtime 1730084647.572633
DEBUG 2024-11-10 00:22:38,605 autoreload File C:\Users\saura\AppData\Local\Programs\Python\Python313\Lib\http\cookies.py first seen with mtime 1728277008.0
DEBUG 2024-11-10 00:22:38,606 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\db\models\options.py first seen with mtime 1730084616.8451402
DEBUG 2024-11-10 00:22:38,606 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1730084616.950718
DEBUG 2024-11-10 00:22:38,606 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\twisted\web\http.py first seen with mtime 1730084632.0398707
DEBUG 2024-11-10 00:22:38,606 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\autobahn\wamp\interfaces.py first seen with mtime 1730084650.9273493
DEBUG 2024-11-10 00:22:38,606 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1730084616.7412026
DEBUG 2024-11-10 00:22:38,606 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\rest_framework\utils\__init__.py first seen with mtime 1730084647.7446208
DEBUG 2024-11-10 00:22:38,607 autoreload File D:\FullStackProjects\TaskManagementSystem\envDjango\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1730084616.923504
